area,sex,age_group,population
Woodleigh,total,65-69,140
Tuas - Total,total,65-69,-
Tengeh,total,65-69,-
Tuas Bay,total,65-69,-
Tuas North,total,65-69,-
Tuas Promenade,total,65-69,-
Tuas View,total,65-69,-
Tuas View Extension,total,65-69,-
Western Islands - Total,total,65-69,-
Jurong Island And Bukom,total,65-69,-
Semakau,total,65-69,-
Sudong,total,65-69,-
Western Water Catchment - Total,total,65-69,10
Bahar,total,65-69,-
Cleantech,total,65-69,-
Murai,total,65-69,10
Woodlands - Total,total,65-69,10830
Greenwood Park,total,65-69,-
Midview,total,65-69,1400
North Coast,total,65-69,800
Senoko West,total,65-69,-
Woodgrove,total,65-69,1500
Woodlands East,total,65-69,3680
Woodlands Regional Centre,total,65-69,-
Woodlands South,total,65-69,1510
Woodlands West,total,65-69,1940
Yishun - Total,total,65-69,12110
Khatib,total,65-69,770
Lower Seletar,total,65-69,350
Nee Soon,total,65-69,50
Northland,total,65-69,1790
Springleaf,total,65-69,290
Yishun Central,total,65-69,150
Yishun East,total,65-69,2590
Yishun South,total,65-69,2570
Yishun West,total,65-69,3580
Total,total,70-74,170010
Ang Mo Kio - Total,total,70-74,9930
Ang Mo Kio Town Centre,total,70-74,230
Cheng San,total,70-74,1730
Chong Boon,total,70-74,1800
Kebun Bahru,total,70-74,1430
Sembawang Hills,total,70-74,370
Shangri-La,total,70-74,960
Tagore,total,70-74,380
Townsville,total,70-74,1420
Yio Chu Kang,total,70-74,-
Yio Chu Kang East,total,70-74,200
Yio Chu Kang North,total,70-74,-
Yio Chu Kang West,total,70-74,1400
Bedok - Total,total,70-74,15230
Bayshore,total,70-74,280
Bedok North,total,70-74,4920
Bedok Reservoir,total,70-74,1050
Bedok South,total,70-74,2820
Frankel,total,70-74,1610
Kaki Bukit,total,70-74,1930
Kembangan,total,70-74,2140
Siglap,total,70-74,480
Bishan - Total,total,70-74,4390
Bishan East,total,70-74,1560
Marymount,total,70-74,1250
Upper Thomson,total,70-74,1580
Boon Lay - Total,total,70-74,-
Liu Fang,total,70-74,-
Samulun,total,70-74,-
Shipyard,total,70-74,-
Tukang,total,70-74,-
Bukit Batok - Total,total,70-74,5800
Brickworks,total,70-74,270
Bukit Batok Central,total,70-74,1150
Bukit Batok East,total,70-74,640
Bukit Batok South,total,70-74,440
Bukit Batok West,total,70-74,640
Gombak,total,70-74,400
Guilin,total,70-74,470
Hillview,total,70-74,680
Hong Kah North,total,70-74,1100
Bukit Merah - Total,total,70-74,9130
Alexandra Hill,total,70-74,950
Alexandra North,total,70-74,40
Bukit Ho Swee,total,70-74,930
Bukit Merah,total,70-74,90
City Terminals,total,70-74,-
Depot Road,total,70-74,320
Everton Park,total,70-74,500
Henderson Hill,total,70-74,890
Kampong Tiong Bahru,total,70-74,700
Maritime Square,total,70-74,120
Redhill,total,70-74,440
Singapore General Hospital,total,70-74,-
Telok Blangah Drive,total,70-74,1110
Telok Blangah Rise,total,70-74,970
Telok Blangah Way,total,70-74,620
Tiong Bahru,total,70-74,690
Tiong Bahru Station,total,70-74,780
Bukit Panjang - Total,total,70-74,4790
Bangkit,total,70-74,970
Dairy Farm,total,70-74,210
Fajar,total,70-74,870
Jelebu,total,70-74,1230
Nature Reserve,total,70-74,150
Saujana,total,70-74,720
Senja,total,70-74,640
Bukit Timah - Total,total,70-74,3650
Anak Bukit,total,70-74,1080
Coronation Road,total,70-74,280
Farrer Court,total,70-74,260
Hillcrest,total,70-74,400
Holland Road,total,70-74,410
Leedon Park,total,70-74,360
Swiss Club,total,70-74,210
Ulu Pandan,total,70-74,660
Central Water Catchment - Total,total,70-74,-
Central Water Catchment,total,70-74,-
Changi- Total,total,70-74,60
Changi Airport,total,70-74,-
Changi Point,total,70-74,30
Changi West,total,70-74,20
Changi Bay - Total,total,70-74,-
Changi Bay,total,70-74,-
Choa Chu Kang - Total,total,70-74,5380
Choa Chu Kang Central,total,70-74,650
Choa Chu Kang North,total,70-74,850
Keat Hong,total,70-74,700
Peng Siang,total,70-74,1130
Teck Whye,total,70-74,1040
Yew Tee,total,70-74,1010
Clementi - Total,total,70-74,5660
Clementi Central,total,70-74,910
Clementi North,total,70-74,1970
Clementi West,total,70-74,960
Clementi Woods,total,70-74,1000
Faber,total,70-74,160
Pandan,total,70-74,-
Sunset Way,total,70-74,380
Toh Tuck,total,70-74,-
West Coast,total,70-74,290
Downtown Core - Total,total,70-74,130
Anson,total,70-74,-
Bayfront Subzone,total,70-74,-
Bugis,total,70-74,70
Cecil,total,70-74,-
Central Subzone,total,70-74,20
City Hall,total,70-74,-
Clifford Pier,total,70-74,-
Marina Centre,total,70-74,-
Maxwell,total,70-74,-
Nicoll,total,70-74,20
Phillip,total,70-74,-
Raffles Place,total,70-74,-
Tanjong Pagar,total,70-74,20
Geylang - Total,total,70-74,5690
Aljunied,total,70-74,2080
Geylang East,total,70-74,1750
Kallang Way,total,70-74,-
Kampong Ubi,total,70-74,520
Macpherson,total,70-74,1340
Hougang - Total,total,70-74,10130
Defu Industrial Park,total,70-74,-
Hougang Central,total,70-74,210
Hougang East,total,70-74,920
Hougang West,total,70-74,2210
Kangkar,total,70-74,1280
Kovan,total,70-74,1120
Lorong Ah Soo,total,70-74,1810
Lorong Halus,total,70-74,-
Tai Seng,total,70-74,670
Trafalgar,total,70-74,1910
Jurong East - Total,total,70-74,4410
International Business Park,total,70-74,-
Jurong Gateway,total,70-74,10
Jurong Port,total,70-74,-
Jurong River,total,70-74,-
Lakeside (Business),total,70-74,-
Lakeside (Leisure),total,70-74,110
Penjuru Crescent,total,70-74,-
Teban Gardens,total,70-74,1170
Toh Guan,total,70-74,570
Yuhua East,total,70-74,1560
Yuhua West,total,70-74,1010
Jurong West - Total,total,70-74,9650
Boon Lay Place,total,70-74,1090
Chin Bee,total,70-74,-
Hong Kah,total,70-74,2790
Jurong West Central,total,70-74,1880
Kian Teck,total,70-74,-
Safti,total,70-74,-
Taman Jurong,total,70-74,1330
Wenya,total,70-74,220
Yunnan,total,70-74,2340
Kallang - Total,total,70-74,5760
Bendemeer,total,70-74,1990
Boon Keng,total,70-74,710
Crawford,total,70-74,730
Geylang Bahru,total,70-74,670
Kallang Bahru,total,70-74,-
Kampong Bugis,total,70-74,60
Kampong Java,total,70-74,650
Lavender,total,70-74,540
Tanjong Rhu,total,70-74,420
Lim Chu Kang - Total,total,70-74,10
Lim Chu Kang,total,70-74,10
Mandai - Total,total,70-74,80
Mandai East,total,70-74,-
Mandai Estate,total,70-74,80
Mandai West,total,70-74,-
Marina East - Total,total,70-74,-
Marina East,total,70-74,-
Marina South - Total,total,70-74,-
Marina South,total,70-74,-
Marine Parade - Total,total,70-74,2480
East Coast,total,70-74,-
Katong,total,70-74,410
Marina East (Mp),total,70-74,-
Marine Parade,total,70-74,1550
Mountbatten,total,70-74,520
Museum - Total,total,70-74,20
Bras Basah,total,70-74,-
Dhoby Ghaut,total,70-74,10
Fort Canning,total,70-74,10
Newton - Total,total,70-74,370
Cairnhill,total,70-74,170
Goodwood Park,total,70-74,40
Istana Negara,total,70-74,-
Monk's Hill,total,70-74,40
Newton Circus,total,70-74,10
Orange Grove,total,70-74,100
North-Eastern Islands - Total,total,70-74,-
North-Eastern Islands,total,70-74,-
Novena - Total,total,70-74,2280
Balestier,total,70-74,1640
Dunearn,total,70-74,190
Malcolm,total,70-74,140
Moulmein,total,70-74,270
Mount Pleasant,total,70-74,40
Orchard - Total,total,70-74,50
Boulevard,total,70-74,20
Somerset,total,70-74,10
Tanglin,total,70-74,20
Outram - Total,total,70-74,1250
China Square,total,70-74,130
Chinatown,total,70-74,550
Pearl's Hill,total,70-74,550
People's Park,total,70-74,20
Pasir Ris - Total,total,70-74,4330
Flora Drive,total,70-74,480
Loyang East,total,70-74,100
Loyang West,total,70-74,20
Pasir Ris Central,total,70-74,830
Pasir Ris Drive,total,70-74,1880
Pasir Ris Park,total,70-74,120
Pasir Ris Wafer Fab Park,total,70-74,-
Pasir Ris West,total,70-74,900
Paya Lebar - Total,total,70-74,-
Airport Road,total,70-74,-
Paya Lebar East,total,70-74,-
Paya Lebar North,total,70-74,-
Paya Lebar West,total,70-74,-
Plab,total,70-74,-
Pioneer - Total,total,70-74,-
Benoi Sector,total,70-74,-
Gul Basin,total,70-74,-
Gul Circle,total,70-74,-
Joo Koon,total,70-74,-
Pioneer Sector,total,70-74,-
Punggol - Total,total,70-74,3990
Coney Island,total,70-74,-
Matilda,total,70-74,1120
Northshore,total,70-74,20
Punggol Canal,total,70-74,-
Punggol Field,total,70-74,1430
Punggol Town Centre,total,70-74,380
Waterway East,total,70-74,1040
Queenstown - Total,total,70-74,5420
Commonwealth,total,70-74,440
Dover,total,70-74,620
Ghim Moh,total,70-74,910
Holland Drive,total,70-74,910
Kent Ridge,total,70-74,-
Margaret Drive,total,70-74,690
Mei Chin,total,70-74,780
National University Of S'pore,total,70-74,-
One North,total,70-74,10
Pasir Panjang 1,total,70-74,180
Pasir Panjang 2,total,70-74,160
Port,total,70-74,10
Queensway,total,70-74,20
Singapore Polytechnic,total,70-74,-
Tanglin Halt,total,70-74,680
River Valley - Total,total,70-74,400
Institution Hill,total,70-74,110
Leonie Hill,total,70-74,110
One Tree Hill,total,70-74,100
Oxley,total,70-74,80
Paterson,total,70-74,10
Rochor - Total,total,70-74,790
Bencoolen,total,70-74,70
Farrer Park,total,70-74,140
Kampong Glam,total,70-74,-
Little India,total,70-74,220
Mackenzie,total,70-74,-
Mount Emily,total,70-74,30
Rochor Canal,total,70-74,-
Selegie,total,70-74,10
Sungei Road,total,70-74,150
Victoria,total,70-74,160
Seletar - Total,total,70-74,10
Pulau Punggol Barat,total,70-74,-
Pulau Punggol Timor,total,70-74,-
Seletar,total,70-74,10
Seletar Aerospace Park,total,70-74,-
Sembawang - Total,total,70-74,2370
Admiralty,total,70-74,380
Sembawang Central,total,70-74,780
Sembawang East,total,70-74,260
Sembawang North,total,70-74,670
Sembawang Springs,total,70-74,210
Sembawang Straits,total,70-74,70
Senoko North,total,70-74,-
Senoko South,total,70-74,-
The Wharves,total,70-74,-
Sengkang - Total,total,70-74,6820
Anchorvale,total,70-74,1200
Compassvale,total,70-74,540
Fernvale,total,70-74,1410
Lorong Halus North,total,70-74,-
Rivervale,total,70-74,1970
Sengkang Town Centre,total,70-74,1700
Sengkang West,total,70-74,-
Serangoon - Total,total,70-74,6210
Lorong Chuan,total,70-74,340
Seletar Hills,total,70-74,750
Serangoon Central,total,70-74,1430
Serangoon Garden,total,70-74,2200
Serangoon North,total,70-74,620
Serangoon North Ind Estate,total,70-74,-
Upper Paya Lebar,total,70-74,880
Simpang - Total,total,70-74,-
Pulau Seletar,total,70-74,-
Simpang North,total,70-74,-
Simpang South,total,70-74,-
Tanjong Irau,total,70-74,-
Singapore River - Total,total,70-74,90
Boat Quay,total,70-74,10
Clarke Quay,total,70-74,-
Robertson Quay,total,70-74,80
Southern Islands - Total,total,70-74,30
Sentosa,total,70-74,30
Southern Group,total,70-74,-
Straits View - Total,total,70-74,-
Straits View,total,70-74,-
Sungei Kadut - Total,total,70-74,40
Gali Batu,total,70-74,-
Kranji,total,70-74,-
Pang Sua,total,70-74,-
Reservoir View,total,70-74,-
Turf Club,total,70-74,40
Tampines - Total,total,70-74,10540
Simei,total,70-74,1660
Tampines East,total,70-74,5510
Tampines North,total,70-74,220
Tampines West,total,70-74,3090
Xilin,total,70-74,60
Tanglin - Total,total,70-74,920
Chatsworth,total,70-74,280
Nassim,total,70-74,400
Ridout,total,70-74,80
Tyersall,total,70-74,160
Tengah - Total,total,70-74,-
Brickland,total,70-74,-
Forest Hill,total,70-74,-
Garden,total,70-74,-
Park,total,70-74,-
Plantation,total,70-74,-
Tengah Industrial Estate,total,70-74,-
Toa Payoh - Total,total,70-74,6760
Bidadari,total,70-74,-
Boon Teck,total,70-74,830
Braddell,total,70-74,530
Joo Seng,total,70-74,400
Kim Keat,total,70-74,510
Lorong 8 Toa Payoh,total,70-74,480
Pei Chun,total,70-74,610
Potong Pasir,total,70-74,780
Sennett,total,70-74,320
Toa Payoh Central,total,70-74,1320
Toa Payoh West,total,70-74,910
Woodleigh,total,70-74,90
Tuas - Total,total,70-74,-
Tengeh,total,70-74,-
Tuas Bay,total,70-74,-
Tuas North,total,70-74,-
Tuas Promenade,total,70-74,-
Tuas View,total,70-74,-
Tuas View Extension,total,70-74,-
Western Islands - Total,total,70-74,-
Jurong Island And Bukom,total,70-74,-
Semakau,total,70-74,-
Sudong,total,70-74,-
Western Water Catchment - Total,total,70-74,-
Bahar,total,70-74,-
Cleantech,total,70-74,-
Murai,total,70-74,-
Woodlands - Total,total,70-74,6980
Greenwood Park,total,70-74,-
Midview,total,70-74,830
North Coast,total,70-74,670
Senoko West,total,70-74,-
Woodgrove,total,70-74,920
Woodlands East,total,70-74,2220
Woodlands Regional Centre,total,70-74,-
Woodlands South,total,70-74,1000
Woodlands West,total,70-74,1340
Yishun - Total,total,70-74,7980
Khatib,total,70-74,510
Lower Seletar,total,70-74,260
Nee Soon,total,70-74,40
Northland,total,70-74,1140
Springleaf,total,70-74,240
Yishun Central,total,70-74,80
Yishun East,total,70-74,1670
Yishun South,total,70-74,1740
Yishun West,total,70-74,2320
Total,total,75-79,90990
Ang Mo Kio - Total,total,75-79,5770
Ang Mo Kio Town Centre,total,75-79,140
Cheng San,total,75-79,960
Chong Boon,total,75-79,1130
Kebun Bahru,total,75-79,840
Sembawang Hills,total,75-79,230
Shangri-La,total,75-79,620
Tagore,total,75-79,210
Townsville,total,75-79,880
Yio Chu Kang,total,75-79,-
Yio Chu Kang East,total,75-79,110
Yio Chu Kang North,total,75-79,-
Yio Chu Kang West,total,75-79,640
Bedok - Total,total,75-79,8020
Bayshore,total,75-79,130
Bedok North,total,75-79,2550
Bedok Reservoir,total,75-79,470
Bedok South,total,75-79,1650
Frankel,total,75-79,840
Kaki Bukit,total,75-79,820
Kembangan,total,75-79,1250
Siglap,total,75-79,310
Bishan - Total,total,75-79,2430
Bishan East,total,75-79,820
Marymount,total,75-79,650
Upper Thomson,total,75-79,970
Boon Lay - Total,total,75-79,-
Liu Fang,total,75-79,-
Samulun,total,75-79,-
Shipyard,total,75-79,-
Tukang,total,75-79,-
Bukit Batok - Total,total,75-79,2880
Brickworks,total,75-79,140
Bukit Batok Central,total,75-79,570
Bukit Batok East,total,75-79,280
Bukit Batok South,total,75-79,170
Bukit Batok West,total,75-79,310
Gombak,total,75-79,240
Guilin,total,75-79,270
Hillview,total,75-79,360
Hong Kah North,total,75-79,540
Bukit Merah - Total,total,75-79,5620
Alexandra Hill,total,75-79,540
Alexandra North,total,75-79,30
Bukit Ho Swee,total,75-79,630
Bukit Merah,total,75-79,50
City Terminals,total,75-79,-
Depot Road,total,75-79,190
Everton Park,total,75-79,310
Henderson Hill,total,75-79,550
Kampong Tiong Bahru,total,75-79,420
Maritime Square,total,75-79,70
Redhill,total,75-79,270
Singapore General Hospital,total,75-79,-
Telok Blangah Drive,total,75-79,660
Telok Blangah Rise,total,75-79,580
Telok Blangah Way,total,75-79,420
Tiong Bahru,total,75-79,440
Tiong Bahru Station,total,75-79,480
Bukit Panjang - Total,total,75-79,2400
Bangkit,total,75-79,580
Dairy Farm,total,75-79,90
Fajar,total,75-79,470
Jelebu,total,75-79,620
Nature Reserve,total,75-79,60
Saujana,total,75-79,290
Senja,total,75-79,290
Bukit Timah - Total,total,75-79,2160
Anak Bukit,total,75-79,650
Coronation Road,total,75-79,220
Farrer Court,total,75-79,140
Hillcrest,total,75-79,260
Holland Road,total,75-79,260
Leedon Park,total,75-79,180
Swiss Club,total,75-79,150
Ulu Pandan,total,75-79,310
Central Water Catchment - Total,total,75-79,-
Central Water Catchment,total,75-79,-
Changi- Total,total,75-79,20
Changi Airport,total,75-79,-
Changi Point,total,75-79,20
Changi West,total,75-79,10
Changi Bay - Total,total,75-79,-
Changi Bay,total,75-79,-
Choa Chu Kang - Total,total,75-79,2680
Choa Chu Kang Central,total,75-79,340
Choa Chu Kang North,total,75-79,430
Keat Hong,total,75-79,330
Peng Siang,total,75-79,450
Teck Whye,total,75-79,620
Yew Tee,total,75-79,510
Clementi - Total,total,75-79,2960
Clementi Central,total,75-79,510
Clementi North,total,75-79,1030
Clementi West,total,75-79,470
Clementi Woods,total,75-79,530
Faber,total,75-79,110
Pandan,total,75-79,-
Sunset Way,total,75-79,200
Toh Tuck,total,75-79,-
West Coast,total,75-79,130
Downtown Core - Total,total,75-79,50
Anson,total,75-79,-
Bayfront Subzone,total,75-79,-
Bugis,total,75-79,30
Cecil,total,75-79,-
Central Subzone,total,75-79,10
City Hall,total,75-79,-
Clifford Pier,total,75-79,-
Marina Centre,total,75-79,-
Maxwell,total,75-79,-
Nicoll,total,75-79,-
Phillip,total,75-79,-
Raffles Place,total,75-79,-
Tanjong Pagar,total,75-79,10
Geylang - Total,total,75-79,3240
Aljunied,total,75-79,1170
Geylang East,total,75-79,900
Kallang Way,total,75-79,-
Kampong Ubi,total,75-79,260
Macpherson,total,75-79,900
Hougang - Total,total,75-79,5290
Defu Industrial Park,total,75-79,-
Hougang Central,total,75-79,110
Hougang East,total,75-79,480
Hougang West,total,75-79,1090
Kangkar,total,75-79,740
Kovan,total,75-79,590
Lorong Ah Soo,total,75-79,980
Lorong Halus,total,75-79,-
Tai Seng,total,75-79,420
Trafalgar,total,75-79,880
Jurong East - Total,total,75-79,2050
International Business Park,total,75-79,-
Jurong Gateway,total,75-79,10
Jurong Port,total,75-79,-
Jurong River,total,75-79,-
Lakeside (Business),total,75-79,-
Lakeside (Leisure),total,75-79,80
Penjuru Crescent,total,75-79,-
Teban Gardens,total,75-79,530
Toh Guan,total,75-79,240
Yuhua East,total,75-79,720
Yuhua West,total,75-79,480
Jurong West - Total,total,75-79,4560
Boon Lay Place,total,75-79,590
Chin Bee,total,75-79,-
Hong Kah,total,75-79,1330
Jurong West Central,total,75-79,770
Kian Teck,total,75-79,-
Safti,total,75-79,-
Taman Jurong,total,75-79,660
Wenya,total,75-79,120
Yunnan,total,75-79,1080
Kallang - Total,total,75-79,3420
Bendemeer,total,75-79,1220
Boon Keng,total,75-79,410
Crawford,total,75-79,440
Geylang Bahru,total,75-79,430
Kallang Bahru,total,75-79,-
Kampong Bugis,total,75-79,20
Kampong Java,total,75-79,350
Lavender,total,75-79,290
Tanjong Rhu,total,75-79,270
Lim Chu Kang - Total,total,75-79,-
Lim Chu Kang,total,75-79,-
Mandai - Total,total,75-79,40
Mandai East,total,75-79,-
Mandai Estate,total,75-79,40
Mandai West,total,75-79,-
Marina East - Total,total,75-79,-
Marina East,total,75-79,-
Marina South - Total,total,75-79,-
Marina South,total,75-79,-
Marine Parade - Total,total,75-79,1550
East Coast,total,75-79,-
Katong,total,75-79,250
Marina East (Mp),total,75-79,-
Marine Parade,total,75-79,1050
Mountbatten,total,75-79,250
Museum - Total,total,75-79,10
Bras Basah,total,75-79,-
Dhoby Ghaut,total,75-79,-
Fort Canning,total,75-79,-
Newton - Total,total,75-79,160
Cairnhill,total,75-79,70
Goodwood Park,total,75-79,20
Istana Negara,total,75-79,-
Monk's Hill,total,75-79,30
Newton Circus,total,75-79,-
Orange Grove,total,75-79,40
North-Eastern Islands - Total,total,75-79,-
North-Eastern Islands,total,75-79,-
Novena - Total,total,75-79,1410
Balestier,total,75-79,1010
Dunearn,total,75-79,140
Malcolm,total,75-79,90
Moulmein,total,75-79,160
Mount Pleasant,total,75-79,20
Orchard - Total,total,75-79,20
Boulevard,total,75-79,10
Somerset,total,75-79,-
Tanglin,total,75-79,10
Outram - Total,total,75-79,710
China Square,total,75-79,60
Chinatown,total,75-79,320
Pearl's Hill,total,75-79,330
People's Park,total,75-79,10
Pasir Ris - Total,total,75-79,2230
Flora Drive,total,75-79,260
Loyang East,total,75-79,50
Loyang West,total,75-79,30
Pasir Ris Central,total,75-79,450
Pasir Ris Drive,total,75-79,900
Pasir Ris Park,total,75-79,60
Pasir Ris Wafer Fab Park,total,75-79,-
Pasir Ris West,total,75-79,500
Paya Lebar - Total,total,75-79,-
Airport Road,total,75-79,-
Paya Lebar East,total,75-79,-
Paya Lebar North,total,75-79,-
Paya Lebar West,total,75-79,-
Plab,total,75-79,-
Pioneer - Total,total,75-79,-
Benoi Sector,total,75-79,-
Gul Basin,total,75-79,-
Gul Circle,total,75-79,-
Joo Koon,total,75-79,-
Pioneer Sector,total,75-79,-
Punggol - Total,total,75-79,1900
Coney Island,total,75-79,-
Matilda,total,75-79,540
Northshore,total,75-79,10
Punggol Canal,total,75-79,-
Punggol Field,total,75-79,680
Punggol Town Centre,total,75-79,170
Waterway East,total,75-79,500
Queenstown - Total,total,75-79,3480
Commonwealth,total,75-79,320
