area,sex,age_group,population
Singapore General Hospital,total,10-14,-
Telok Blangah Drive,total,10-14,740
Telok Blangah Rise,total,10-14,430
Telok Blangah Way,total,10-14,380
Tiong Bahru,total,10-14,560
Tiong Bahru Station,total,10-14,830
Bukit Panjang - Total,total,10-14,7310
Bangkit,total,10-14,930
Dairy Farm,total,10-14,440
Fajar,total,10-14,1580
Jelebu,total,10-14,1410
Nature Reserve,total,10-14,240
Saujana,total,10-14,1460
Senja,total,10-14,1260
Bukit Timah - Total,total,10-14,4950
Anak Bukit,total,10-14,1190
Coronation Road,total,10-14,490
Farrer Court,total,10-14,440
Hillcrest,total,10-14,610
Holland Road,total,10-14,800
Leedon Park,total,10-14,400
Swiss Club,total,10-14,340
Ulu Pandan,total,10-14,680
Central Water Catchment - Total,total,10-14,-
Central Water Catchment,total,10-14,-
Changi- Total,total,10-14,150
Changi Airport,total,10-14,-
Changi Point,total,10-14,20
Changi West,total,10-14,130
Changi Bay - Total,total,10-14,-
Changi Bay,total,10-14,-
Choa Chu Kang - Total,total,10-14,10210
Choa Chu Kang Central,total,10-14,1330
Choa Chu Kang North,total,10-14,1640
Keat Hong,total,10-14,2060
Peng Siang,total,10-14,1760
Teck Whye,total,10-14,1010
Yew Tee,total,10-14,2400
Clementi - Total,total,10-14,4650
Clementi Central,total,10-14,700
Clementi North,total,10-14,1160
Clementi West,total,10-14,740
Clementi Woods,total,10-14,800
Faber,total,10-14,440
Pandan,total,10-14,-
Sunset Way,total,10-14,270
Toh Tuck,total,10-14,-
West Coast,total,10-14,550
Downtown Core - Total,total,10-14,60
Anson,total,10-14,-
Bayfront Subzone,total,10-14,-
Bugis,total,10-14,10
Cecil,total,10-14,10
